"filename", "language", "Vue", "HTML", "SCSS", "JSON with Comments", "TypeScript", "Markdown", "JavaScript", "CSS", "JSON", "YAML", "comment", "blank", "total"
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/presets/nsight_style_presets/tooltip/index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 6, 5, 47
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/presets/nsight_style_presets/tree/index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 161, 0, 0, 0, 51, 44, 256
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/presets/nsight_style_presets/treeselect/index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 223, 0, 0, 0, 69, 58, 350
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/presets/nsight_style_presets/treetable/index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 285, 0, 0, 0, 80, 67, 432
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/presets/nsight_style_presets/tristatecheckbox/index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 67, 0, 0, 0, 20, 18, 105
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/public/assets/emails/new_user.html", "HTML", 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/render.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 1, 8
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/server/api/boilerplate.post.ts", "TypeScript", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/server/api/chat/actions/send-message.post.ts", "TypeScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 54, 21, 81
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/server/api/chat/hooks/relay.post.ts", "TypeScript", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/server/api/chat/hooks/reply.post.ts", "TypeScript", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 6, 20
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/server/api/chat/update-user.post.ts", "TypeScript", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 5, 10
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/server/api/email/forgot-password.post.ts", "TypeScript", 0, 0, 0, 0, 137, 0, 0, 0, 0, 0, 7, 14, 158
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/server/api/email/new-user-confirmation.post.ts", "TypeScript", 0, 0, 0, 0, 79, 0, 0, 0, 0, 0, 2, 7, 88
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/server/api/email/reset-password.post.ts", "TypeScript", 0, 0, 0, 0, 125, 0, 0, 0, 0, 0, 5, 11, 141
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/server/api/feed/fetch.post.ts", "TypeScript", 0, 0, 0, 0, 193, 0, 0, 0, 0, 0, 14, 28, 235
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/server/api/square/boilerplate.post.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 9, 29
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/server/api/square/create-card.post.ts", "TypeScript", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 5, 20
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/server/api/square/create-checkout.post.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 13, 58
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/server/api/square/create-customer.post.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 5, 34
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/server/api/square/customers/create-card.post.ts", "TypeScript", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 6, 31
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/server/api/square/list-catalog.post.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 68, 23, 91
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/server/api/square/orders/pay-order.post.ts", "TypeScript", 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 10, 46
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/server/api/square/orders/place-order.post.ts", "TypeScript", 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 12, 17, 72
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/server/api/square/pay-order.post.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 8, 48
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/server/api/square/payment.post.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 8, 45
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/server/api/square/place-order.post.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 14, 74
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/server/api/square/products/list.post.ts", "TypeScript", 0, 0, 0, 0, 170, 0, 0, 0, 0, 0, 7, 25, 202
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/server/api/square/products/retrieve-item.post.ts", "TypeScript", 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 9, 38
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/server/api/square/retrieve-item.post.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 13, 68
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/server/api/upload/images.post.ts", "TypeScript", 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 6, 14, 67
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/server/api/user/add.post.ts", "TypeScript", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 3, 11
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/server/api/user/update.post.ts", "TypeScript", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 6, 32
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/server/api/user/update_password.ts", "TypeScript", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 21, 8, 52
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/server/api/utils/secure-token.get.ts", "TypeScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 5, 11
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/server/index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 9, 26
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/server/routes/_ws.ts", "TypeScript", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 5, 22
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/server/routes/sse.ts", "TypeScript", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 4, 15
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/server/tsconfig.json", "JSON with Comments", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/stores/auth.js", "JavaScript", 0, 0, 0, 0, 0, 0, 443, 0, 0, 0, 10, 23, 476
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/stores/chat.js", "JavaScript", 0, 0, 0, 0, 0, 0, 170, 0, 0, 0, 7, 25, 202
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/stores/chatStore.js", "JavaScript", 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 3, 3, 36
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/stores/products.js", "JavaScript", 0, 0, 0, 0, 0, 0, 152, 0, 0, 0, 11, 24, 187
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/stores/settings.js", "JavaScript", 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 2, 6, 49
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/tailwind.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 1, 1, 53
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/tsconfig.json", "JSON with Comments", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 1, 5
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/utils/Icons.js", "JavaScript", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 59, 14, 94
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/utils/detectBrowser.js", "JavaScript", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 1, 19
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/utils/formatPrice.js", "JavaScript", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 9
"Total", "-", 12244, 86, 6586, 6, 1281, 53, 9458, 61, 16597, 7, 4601, 5575, 56555
